id,target
0,0.03083
1,0.03870
2,0.03495
3,0.03003
4,0.02922
5,0.02981
6,0.03580
8,0.03233
10,0.04550
11,0.03148
12,0.03252
14,0.03040
15,0.03959
18,0.03705
21,0.04039
23,0.04142
24,0.03515
25,0.03691
27,0.04926
29,0.03525
30,0.03677
31,0.03744
32,0.04388
33,0.03858
37,0.02984
38,0.03227
39,0.04744
40,0.03316
41,0.03674
42,0.03386
44,0.03151
45,0.03536
47,0.03182
49,0.03033
51,0.03454
52,0.03171
53,0.03592
54,0.04779
55,0.03459
56,0.03683
57,0.04698
59,0.04590
60,0.03690
62,0.02938
63,0.05403
67,0.03894
68,0.02821
69,0.04800
70,0.03633
71,0.03993
73,0.03636
75,0.03871
76,0.02946
81,0.02855
82,0.03726
83,0.03116
86,0.03065
87,0.03649
88,0.03157
91,0.04011
92,0.03580
94,0.03118
97,0.03698
100,0.03736
102,0.03664
103,0.03191
105,0.03637
106,0.04599
108,0.03640
113,0.04913
114,0.03638
115,0.03514
118,0.04083
122,0.02897
124,0.03017
126,0.03212
128,0.03620
129,0.03674
130,0.04259
131,0.04830
132,0.04632
133,0.02899
134,0.04672
135,0.04281
136,0.03198
139,0.03190
140,0.03718
141,0.03833
146,0.03252
148,0.03521
151,0.02942
152,0.04155
154,0.03237
157,0.03448
158,0.02918
159,0.04342
161,0.03690
164,0.03736
165,0.04546
167,0.03457
168,0.03840
169,0.03744
171,0.03599
172,0.04286
173,0.03058
174,0.03668
175,0.03758
176,0.04215
178,0.03526
179,0.03245
180,0.02965
181,0.02612
182,0.03921
183,0.03804
184,0.04572
185,0.03275
187,0.02861
188,0.03392
190,0.03392
191,0.03483
192,0.05573
195,0.03505
196,0.03989
198,0.03728
201,0.03208
202,0.03369
203,0.03294
204,0.02993
207,0.03366
213,0.04542
219,0.03162
220,0.03702
222,0.04171
226,0.03358
228,0.04810
230,0.03738
231,0.03312
232,0.04084
233,0.03775
234,0.02741
236,0.04014
237,0.03519
238,0.04507
240,0.03514
241,0.02931
242,0.03785
243,0.03574
245,0.03802
246,0.05164
247,0.03254
249,0.05119
250,0.03859
251,0.02953
252,0.04141
253,0.03042
254,0.03615
255,0.04798
256,0.03770
257,0.03369
258,0.04041
259,0.04896
260,0.02646
262,0.02893
267,0.03216
268,0.03032
270,0.02986
272,0.03705
273,0.03163
274,0.04332
275,0.04026
276,0.03154
277,0.03456
278,0.04027
279,0.04406
281,0.04113
282,0.03420
283,0.03949
287,0.03582
288,0.03911
289,0.03910
290,0.03572
291,0.03772
292,0.05269
293,0.03766
294,0.03362
295,0.03124
296,0.05323
297,0.03320
298,0.03566
299,0.04166
300,0.03985
303,0.04223
304,0.03852
308,0.02959
314,0.04440
315,0.03913
317,0.03417
318,0.04796
320,0.04408
322,0.03886
323,0.03774
327,0.04309
329,0.04312
331,0.03550
332,0.05072
333,0.04175
334,0.03265
335,0.03051
336,0.03826
337,0.04423
341,0.04219
343,0.03049
345,0.04170
347,0.03166
348,0.03006
349,0.03349
352,0.03512
353,0.02861
354,0.03867
355,0.03330
356,0.04325
357,0.03677
358,0.03282
359,0.03388
361,0.03361
362,0.03776
365,0.03718
366,0.04103
368,0.03694
369,0.03353
371,0.03053
373,0.03389
376,0.03382
377,0.04132
379,0.03582
381,0.03265
382,0.03818
383,0.03412
384,0.03539
385,0.03847
386,0.03924
387,0.03807
388,0.04362
390,0.03773
391,0.03507
392,0.04094
393,0.04578
394,0.03364
396,0.03785
400,0.03220
402,0.06003
403,0.03369
405,0.03222
407,0.03837
409,0.04543
411,0.03369
412,0.02993
414,0.06027
415,0.03477
416,0.02732
418,0.03420
419,0.03794
421,0.02846
422,0.05752
423,0.04116
424,0.04113
426,0.02957
427,0.04671
428,0.04147
436,0.03778
438,0.03606
442,0.03415
443,0.03400
445,0.03540
446,0.03500
447,0.02932
450,0.04226
452,0.03150
453,0.03915
455,0.03486
458,0.05188
459,0.02896
461,0.03722
463,0.02809
467,0.05454
470,0.04083
471,0.04202
472,0.03061
476,0.04290
477,0.03653
481,0.03719
482,0.03974
483,0.04800
485,0.03536
487,0.03684
488,0.03425
490,0.04306
492,0.03782
494,0.04648
497,0.04295
499,0.03837
500,0.03866
501,0.03225
503,0.03555
505,0.03358
506,0.03709
507,0.03999
509,0.04186
510,0.03550
511,0.04040
512,0.02945
514,0.04156
515,0.02900
516,0.03616
517,0.04982
519,0.04103
520,0.04565
521,0.03088
522,0.03503
523,0.03592
527,0.04051
530,0.04055
532,0.03368
534,0.03249
536,0.04327
539,0.03111
543,0.03116
547,0.03954
550,0.04068
551,0.04275
552,0.03295
553,0.04723
555,0.03266
556,0.03735
557,0.03031
558,0.04200
559,0.03211
560,0.03417
561,0.03739
565,0.03728
566,0.03301
567,0.03457
571,0.03253
572,0.03367
574,0.03232
575,0.03007
576,0.04049
577,0.04496
578,0.03356
579,0.03939
581,0.02362
587,0.03237
589,0.03198
590,0.04711
591,0.03543
592,0.03917
593,0.03334
594,0.04687
595,0.05217
596,0.02821
597,0.03477
598,0.04835
600,0.03171
602,0.02811
605,0.03395
606,0.04223
607,0.03740
612,0.02597
613,0.03850
614,0.03070
615,0.04022
616,0.04189
617,0.03324
618,0.04814
620,0.03095
621,0.03024
622,0.03124
623,0.03516
628,0.03292
631,0.03570
632,0.02867
633,0.03568
634,0.03896
635,0.05032
637,0.04221
638,0.05077
640,0.04606
643,0.03757
644,0.06183
645,0.04112
646,0.03199
649,0.03679
651,0.04102
653,0.02807
654,0.04117
655,0.05083
656,0.03231
658,0.04206
659,0.02705
661,0.04101
662,0.03796
663,0.05281
664,0.05950
665,0.03590
667,0.03368
668,0.03652
671,0.03785
673,0.03884
674,0.05009
675,0.02885
676,0.03823
677,0.02923
678,0.03223
679,0.04078
680,0.03071
681,0.04605
682,0.04043
683,0.03660
684,0.03634
686,0.03843
687,0.04384
688,0.04363
690,0.02981
691,0.03724
692,0.04838
693,0.03457
694,0.03698
695,0.03175
696,0.03467
698,0.03991
699,0.03202
702,0.03802
703,0.02458
705,0.04027
706,0.04053
707,0.03567
708,0.03488
709,0.05036
710,0.05588
713,0.04716
714,0.03728
715,0.04379
716,0.04252
717,0.04391
718,0.03742
719,0.03016
720,0.03766
721,0.03464
723,0.04163
724,0.04135
726,0.03173
728,0.05370
730,0.03044
732,0.03176
734,0.02816
735,0.03515
737,0.02768
738,0.03484
741,0.03741
742,0.03280
743,0.03634
746,0.03703
747,0.03810
749,0.04044
750,0.04537
752,0.03854
755,0.04241
757,0.03245
758,0.03388
759,0.03248
765,0.03630
766,0.02828
767,0.04766
768,0.03368
769,0.04175
770,0.03060
771,0.03407
772,0.02827
773,0.04767
775,0.03505
776,0.03859
778,0.03459
779,0.04206
780,0.03765
782,0.03720
783,0.04044
784,0.03539
785,0.03260
786,0.03587
788,0.04083
789,0.03335
792,0.04265
793,0.02910
794,0.03834
797,0.04509
798,0.02890
799,0.03991
800,0.03948
801,0.04573
802,0.04353
805,0.03355
807,0.03473
808,0.02997
811,0.03641
813,0.03199
814,0.03935
815,0.05401
816,0.04219
817,0.03391
819,0.02751
821,0.02958
823,0.03190
825,0.03934
826,0.02806
827,0.02809
828,0.02935
830,0.04151
831,0.04648
833,0.03027
834,0.06308
835,0.04581
836,0.03375
837,0.03873
838,0.05315
840,0.03005
842,0.03158
844,0.03800
845,0.04968
847,0.03968
848,0.04416
850,0.02935
851,0.03836
852,0.04888
853,0.05407
855,0.02892
856,0.04413
857,0.04119
859,0.04008
860,0.04236
862,0.04546
863,0.04445
864,0.03558
867,0.03318
868,0.03261
869,0.02920
871,0.03748
873,0.04360
875,0.04004
876,0.04016
877,0.03190
879,0.05801
880,0.03961
883,0.03505
884,0.03128
885,0.03476
886,0.03788
887,0.03577
888,0.03070
891,0.03903
893,0.03310
895,0.07158
897,0.03393
898,0.05134
901,0.03603
902,0.03321
904,0.04210
905,0.03362
907,0.04394
908,0.03794
909,0.03835
910,0.03019
911,0.03076
913,0.03627
914,0.03737
915,0.04940
916,0.03081
917,0.04997
919,0.03743
920,0.03177
923,0.03649
924,0.03174
925,0.03818
926,0.03992
928,0.03003
929,0.02600
932,0.04033
935,0.03607
936,0.04837
937,0.03634
938,0.03661
939,0.03500
940,0.03747
941,0.03238
944,0.04048
945,0.02918
946,0.03717
947,0.03123
949,0.03481
950,0.02852
952,0.03456
953,0.03981
955,0.03129
956,0.03047
957,0.03408
960,0.04953
961,0.03366
962,0.03074
963,0.03468
964,0.04303
967,0.03372
975,0.03615
976,0.04081
977,0.03095
978,0.04080
980,0.03275
985,0.04423
986,0.04991
987,0.02934
989,0.03246
992,0.03608
994,0.03929
995,0.03231
996,0.03250
997,0.04411
998,0.03212
999,0.04229
1000,0.03884
1004,0.03417
