id,target
0,0.01586
1,0.01977
2,0.01707
3,0.01865
4,0.00721
5,0.02008
6,0.05522
8,0.02486
10,0.06545
11,0.02910
12,0.03110
14,0.01880
15,0.07789
18,0.02813
21,0.06908
23,0.04051
24,0.03210
25,0.02040
27,0.04549
29,0.03618
30,0.03194
31,0.04227
32,0.04553
33,0.05404
37,0.01586
38,0.03652
39,0.06786
40,0.02614
41,0.05736
42,0.02807
44,0.01606
45,0.02458
47,0.05912
49,0.01826
51,0.02554
52,0.02013
53,0.05291
54,0.03356
55,0.02040
56,0.02253
57,0.04245
59,0.03800
60,0.03261
62,0.01374
63,0.09343
67,0.02056
68,0.01199
69,0.05123
70,0.02386
71,0.03604
73,0.02974
75,0.02574
76,0.02046
81,0.02293
82,0.01569
83,0.01744
86,0.03677
87,0.04890
88,0.01006
91,0.04066
92,0.01567
94,0.01585
97,0.03127
100,0.02147
102,0.06403
103,0.02648
105,0.03952
106,0.05300
108,0.04253
113,0.07008
114,0.01900
115,0.02713
118,0.04319
122,0.03238
124,0.03361
126,0.03909
128,0.03299
129,0.03608
130,0.04965
131,0.06995
132,0.03760
133,0.02006
134,0.04001
135,0.07990
136,0.01801
139,0.01824
140,0.02988
141,0.04142
146,0.02736
148,0.01772
151,0.01978
152,0.04555
154,0.02453
157,0.03320
158,0.01269
159,0.06780
161,0.02771
164,0.02128
165,0.04924
167,0.01509
168,0.03010
169,0.03388
171,0.04480
172,0.07697
173,0.03764
174,0.03141
175,0.05875
176,0.02938
178,0.03237
179,0.01562
180,0.02676
181,0.00689
182,0.03490
183,0.04523
184,0.05025
185,0.02237
187,0.04514
188,0.02279
190,0.01940
191,0.02368
192,0.06655
195,0.04153
196,0.03288
198,0.06468
201,0.04852
202,0.05410
203,0.01809
204,0.01086
207,0.02380
213,0.03621
219,0.02771
220,0.02524
222,0.03962
226,0.01511
228,0.08485
230,0.03100
231,0.03147
232,0.08720
233,0.01989
234,0.00838
236,0.03035
237,0.02891
238,0.05604
240,0.04809
241,0.01488
242,0.04815
243,0.02599
245,0.04391
246,0.05956
247,0.03568
249,0.07024
250,0.02256
251,0.01948
252,0.01762
253,0.00860
254,0.04557
255,0.05958
256,0.04275
257,0.02049
258,0.03191
259,0.05989
260,0.01269
262,0.01445
