id,target
0,0.02671
1,0.02882
2,0.02476
3,0.01909
4,0.01816
5,0.01870
6,0.04780
8,0.02285
10,0.06110
11,0.05459
12,0.03045
14,0.01950
15,0.07792
18,0.04069
21,0.04167
23,0.02652
24,0.04122
25,0.03854
27,0.04475
29,0.03908
30,0.01745
31,0.06841
32,0.04800
33,0.03270
37,0.03993
38,0.03798
39,0.04864
40,0.03422
41,0.03313
42,0.02457
44,0.02905
45,0.02150
47,0.05081
49,0.02922
51,0.03834
52,0.02176
53,0.03849
54,0.07642
55,0.02048
56,0.02614
57,0.12492
59,0.06032
60,0.05257
62,0.02075
63,0.12186
67,0.04537
68,0.01138
69,0.07189
70,0.02941
71,0.03823
73,0.05366
75,0.02267
76,0.02868
81,0.01771
82,0.03434
83,0.03054
86,0.02337
87,0.04704
88,0.02359
91,0.04184
92,0.03354
94,0.01414
97,0.03614
100,0.03738
102,0.04620
103,0.02939
105,0.04903
106,0.06807
108,0.03774
113,0.07203
114,0.02625
115,0.03329
118,0.06752
122,0.02020
124,0.05221
126,0.03168
128,0.03601
129,0.05431
130,0.06641
131,0.02966
132,0.05671
133,0.01738
134,0.03546
135,0.05056
136,0.01748
139,0.01924
140,0.02359
141,0.10009
146,0.02330
148,0.02089
151,0.02271
152,0.05536
154,0.03427
157,0.02687
158,0.01694
159,0.08473
161,0.02315
164,0.03008
165,0.05775
167,0.02731
168,0.06101
169,0.02832
171,0.03192
172,0.07547
173,0.01772
174,0.02300
175,0.04681
176,0.03102
178,0.03923
179,0.02196
180,0.01754
181,0.01498
182,0.07980
183,0.07377
184,0.08579
185,0.05347
187,0.02611
188,0.01886
190,0.02485
191,0.02933
192,0.08289
195,0.03352
196,0.03410
198,0.06289
201,0.03599
202,0.05158
203,0.02142
204,0.02145
207,0.03348
213,0.03595
219,0.02357
220,0.03559
222,0.07554
226,0.01829
228,0.12151
230,0.03919
231,0.02154
232,0.04154
233,0.02598
234,0.01068
236,0.04566
237,0.02688
238,0.07184
240,0.04975
241,0.02124
242,0.05186
243,0.04253
245,0.02694
246,0.07037
247,0.02035
249,0.07599
250,0.02744
251,0.01788
252,0.02424
253,0.02070
254,0.06969
255,0.08263
256,0.03203
257,0.02469
258,0.02478
259,0.10078
260,0.01028
262,0.01912
267,0.02751
268,0.02316
270,0.01286
272,0.02074
273,0.02184
274,0.02245
275,0.03067
276,0.02034
277,0.04772
278,0.06609
279,0.04006
281,0.04230
282,0.02963
283,0.03752
287,0.03432
288,0.04885
289,0.03847
290,0.02480
291,0.04561
292,0.13515
293,0.03161
294,0.01792
295,0.01707
296,0.10892
297,0.04040
298,0.04934
299,0.06254
300,0.05955
303,0.04661
304,0.05191
308,0.01840
314,0.08925
315,0.02470
317,0.03772
318,0.07054
320,0.06944
322,0.05937
323,0.01963
327,0.04378
329,0.06982
331,0.02733
332,0.22046
333,0.07255
334,0.02311
335,0.02149
336,0.06151
337,0.04454
341,0.04054
343,0.02380
345,0.04613
347,0.03931
348,0.03907
349,0.03643
352,0.02605
353,0.01837
354,0.05437
355,0.03234
356,0.04344
357,0.02436
358,0.02678
359,0.03383
361,0.05215
362,0.03889
365,0.03560
366,0.06796
368,0.02560
369,0.03266
371,0.02010
373,0.02921
376,0.04843
377,0.03603
379,0.07159
381,0.02773
382,0.03087
383,0.02157
384,0.04742
385,0.02972
386,0.03834
387,0.02726
388,0.10475
390,0.02173
391,0.03144
392,0.09957
393,0.03037
394,0.02833
396,0.03225
400,0.04679
402,0.05883
403,0.02003
405,0.03676
407,0.04275
409,0.05130
411,0.03053
412,0.01047
414,0.11637
415,0.03693
416,0.01899
418,0.02544
419,0.03382
421,0.01515
422,0.08377
423,0.03245
424,0.06401
426,0.01297
427,0.09252
428,0.03285
436,0.05436
438,0.03951
442,0.02630
443,0.02233
445,0.03652
446,0.03347
447,0.02630
450,0.07039
452,0.01511
453,0.03146
455,0.03346
458,0.07391
459,0.01603
461,0.02936
463,0.02057
467,0.06121
470,0.02840
471,0.03749
472,0.02727
476,0.07930
477,0.02524
481,0.04979
482,0.05839
483,0.11343
485,0.02334
487,0.02335
488,0.02302
490,0.02196
492,0.02650
494,0.05840
497,0.12374
499,0.02204
500,0.04875
501,0.03448
503,0.01967
505,0.02506
506,0.04198
507,0.03888
509,0.05635
510,0.06259
511,0.05604
512,0.01505
514,0.02616
515,0.02874
516,0.03396
517,0.12829
519,0.02694
520,0.05327
521,0.02584
522,0.07406
523,0.05109
527,0.05881
530,0.07147
532,0.02642
534,0.03502
536,0.04555
539,0.02557
543,0.02197
547,0.04333
550,0.04422
551,0.04883
552,0.03460
553,0.06522
555,0.02348
556,0.02634
557,0.02196
558,0.03986
559,0.02636
560,0.01717
561,0.02667
565,0.03509
566,0.03917
567,0.03527
571,0.03651
572,0.04633
574,0.01812
575,0.02161
576,0.08744
577,0.05988
578,0.02307
579,0.04451
581,0.01778
587,0.02584
589,0.02235
590,0.07483
591,0.02748
592,0.04763
593,0.02469
594,0.12231
595,0.06056
596,0.01495
597,0.02920
598,0.13532
600,0.02749
602,0.01126
605,0.02510
606,0.03732
607,0.02068
612,0.01654
613,0.02946
614,0.01485
615,0.03330
616,0.01871
617,0.01902
618,0.10464
620,0.02931
621,0.02207
622,0.01506
623,0.04500
628,0.03336
631,0.04968
632,0.02079
633,0.03310
634,0.07571
635,0.09514
637,0.03564
638,0.05843
640,0.02988
643,0.03265
644,0.11436
645,0.02898
646,0.03990
649,0.04706
651,0.05917
653,0.01347
654,0.06774
655,0.14042
656,0.03945
658,0.04783
659,0.01632
661,0.05210
662,0.03352
663,0.03693
664,0.07087
665,0.07624
667,0.03008
668,0.03349
671,0.05971
673,0.04334
674,0.03942
675,0.02452
676,0.05148
677,0.01718
678,0.02341
679,0.03804
680,0.03564
681,0.05163
682,0.04536
683,0.02498
684,0.02271
686,0.08058
687,0.05364
688,0.05554
690,0.04261
691,0.03490
692,0.07521
693,0.03154
694,0.03545
695,0.01891
696,0.02530
698,0.05065
699,0.01830
702,0.03693
703,0.01677
705,0.14707
706,0.04588
707,0.04257
708,0.01616
709,0.06722
710,0.08665
713,0.02809
714,0.02907
715,0.05308
716,0.05808
717,0.04404
718,0.01385
719,0.02029
720,0.03461
721,0.04014
723,0.05105
724,0.04749
726,0.02790
728,0.12774
730,0.02057
732,0.02335
734,0.02347
735,0.03644
737,0.01641
738,0.06003
741,0.05012
742,0.03108
743,0.02790
746,0.02719
747,0.04009
749,0.03802
750,0.06982
752,0.04097
755,0.05494
757,0.01942
758,0.02881
759,0.02855
765,0.02218
766,0.01787
767,0.11181
768,0.03864
769,0.02838
770,0.01548
771,0.03210
772,0.01354
773,0.08183
775,0.05104
776,0.03830
778,0.02399
779,0.03377
780,0.04401
782,0.03662
783,0.05205
784,0.03831
785,0.01424
786,0.01574
788,0.04916
789,0.02879
792,0.07548
793,0.02115
794,0.05055
797,0.06981
798,0.01505
799,0.07720
800,0.04678
801,0.05806
802,0.05809
805,0.02613
807,0.02863
808,0.01281
811,0.03182
813,0.02276
814,0.03208
815,0.10701
816,0.07303
817,0.01708
819,0.01430
821,0.02178
823,0.02781
825,0.04376
826,0.02090
827,0.02358
828,0.02133
830,0.03015
831,0.05172
833,0.02202
834,0.05564
835,0.02952
836,0.04128
837,0.05307
838,0.05615
840,0.02518
842,0.01171
844,0.04846
845,0.06398
847,0.05875
848,0.06164
850,0.02252
851,0.02410
852,0.04051
853,0.13311
855,0.02067
856,0.06441
857,0.03020
859,0.04464
860,0.06069
862,0.05264
863,0.05077
864,0.03614
867,0.03264
868,0.03435
869,0.02543
871,0.02122
873,0.05543
875,0.03933
876,0.03824
877,0.03197
879,0.06399
880,0.12359
883,0.02340
884,0.02695
885,0.02830
886,0.01881
887,0.01986
888,0.01491
891,0.05034
893,0.02382
895,0.08110
897,0.03200
898,0.09815
901,0.03649
902,0.03907
904,0.05286
905,0.02011
907,0.04944
908,0.03645
909,0.03673
910,0.01533
911,0.02107
913,0.03638
914,0.02440
915,0.18489
916,0.03493
917,0.02174
919,0.02168
920,0.02440
923,0.02735
924,0.03391
925,0.02475
926,0.03173
928,0.02022
929,0.01329
932,0.04203
935,0.04307
936,0.05842
937,0.03764
938,0.05103
939,0.02103
940,0.03525
941,0.02944
944,0.05303
945,0.01598
946,0.05517
947,0.03264
949,0.02885
950,0.03413
952,0.02410
953,0.07141
955,0.02744
956,0.02586
957,0.01881
960,0.03344
961,0.03586
962,0.03181
963,0.02301
964,0.02898
967,0.03035
975,0.04517
976,0.04038
977,0.01493
978,0.04050
980,0.02375
985,0.06391
986,0.06762
987,0.02321
989,0.03000
992,0.02965
994,0.03116
995,0.02173
996,0.01455
997,0.04002
998,0.01912
999,0.08347
1000,0.03814
1004,0.02331
1005,0.09645
1006,0.02958
1007,0.18947
1010,0.02622
1011,0.08830
1012,0.01747
1013,0.03295
1014,0.02204
1016,0.05909
1018,0.03578
1019,0.01537
1020,0.04354
1022,0.04321
1023,0.03502
1024,0.02915
1025,0.03342
1029,0.03886
1031,0.02775
1032,0.01823
1033,0.01942
1034,0.06494
1035,0.05784
1036,0.02818
1037,0.02366
1038,0.03209
1039,0.03301
1041,0.02322
1043,0.02697
1049,0.05132
1050,0.11241
1051,0.05200
1052,0.03530
1053,0.02015
1054,0.03905
1056,0.04633
1057,0.09737
1060,0.04943
1061,0.02670
1062,0.02521
1063,0.05229
1064,0.05361
1065,0.01631
1066,0.03521
1068,0.05499
1073,0.04966
1075,0.01908
1079,0.02450
1081,0.04255
1083,0.07836
1085,0.01284
1086,0.02885
1087,0.02225
1088,0.01394
1089,0.02900
1090,0.07753
1091,0.02361
1092,0.03514
1095,0.02696
1098,0.03686
1099,0.04103
1100,0.05432
1101,0.07124
1103,0.06861
1104,0.05246
1106,0.01498
1107,0.05419
1108,0.08909
1109,0.02561
1113,0.05332
1114,0.05012
1116,0.02085
1117,0.03542
1118,0.04310
1119,0.03037
1120,0.03404
1121,0.03650
1122,0.02263
1123,0.04469
1125,0.01799
1126,0.02806
1127,0.01507
1128,0.04601
1129,0.07085
1130,0.04087
1132,0.04416
1133,0.05290
1136,0.01852
1137,0.05892
1140,0.03682
1142,0.04559
1144,0.03089
1145,0.03921
1146,0.02350
1148,0.05221
1150,0.02040
1151,0.02029
1153,0.05821
1154,0.04795
1155,0.04753
1156,0.05078
1157,0.02667
1158,0.04667
1160,0.01778
1161,0.04283
1167,0.03610
1168,0.02248
1170,0.01967
1171,0.06412
1173,0.04595
1174,0.05916
1175,0.04050
1176,0.03439
1177,0.01611
1178,0.05545
1179,0.01869
1180,0.02589
1181,0.05387
1182,0.02694
1183,0.03391
1185,0.03490
1188,0.02786
1189,0.02114
1190,0.05547
1191,0.05032
1192,0.03982
1194,0.02094
1197,0.04601
1198,0.02962
1199,0.05129
1200,0.02530
1203,0.05745
1204,0.05307
1207,0.02398
1208,0.04691
1209,0.02850
1210,0.08115
1211,0.03430
1213,0.02942
1214,0.02276
1215,0.03222
1216,0.13908
1217,0.03516
1218,0.02768
1219,0.02032
1223,0.05513
1225,0.03202
1226,0.01703
1228,0.07297
1229,0.01914
1231,0.11471
1232,0.10768
1233,0.04311
1235,0.02562
1238,0.01543
1239,0.02750
1240,0.04671
1241,0.01907
1242,0.02488
1243,0.03095
1244,0.02888
1246,0.09694
1249,0.06485
1250,0.01039
1252,0.02614
1254,0.04127
1255,0.01428
1256,0.01624
1257,0.01908
1258,0.02963
1259,0.05644
1260,0.03217
1262,0.02720
1263,0.01515
1264,0.01711
1265,0.04919
1266,0.01597
1269,0.04805
1270,0.02882
1271,0.01510
1272,0.07239
1273,0.02547
1274,0.04615
1277,0.02105
1278,0.01675
1281,0.02480
1282,0.06463
1283,0.02533
1284,0.02727
1285,0.03448
1286,0.07171
1289,0.01687
1291,0.01714
1292,0.02295
1293,0.08985
1294,0.06370
1295,0.07977
1297,0.03546
1298,0.03754
1301,0.02529
1304,0.04869
1305,0.03470
1307,0.07671
1308,0.04154
1309,0.09815
1313,0.09500
1314,0.04089
1316,0.02136
1317,0.02295
1318,0.07969
1320,0.03555
1321,0.01570
1322,0.03443
1323,0.03015
1325,0.03090
1330,0.02700
1331,0.04018
1334,0.05540
1337,0.02446
1339,0.04527
1340,0.01760
1341,0.02598
1343,0.03079
1344,0.01660
1347,0.03769
1348,0.07176
1350,0.01998
1351,0.02179
1355,0.02743
1356,0.06090
1357,0.04331
1358,0.02283
1360,0.02523
1363,0.05267
1364,0.01875
1366,0.02613
1367,0.04032
1368,0.06828
